Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergy_score
CARMUSTINE,ARSENIC TRIOXIDE,SF295,DB00262,DB01169,-4.02,0
AZACYTIDINE,MERCAPTOPURINE,SF295,DB00928,DB01033,-4.01,0
LENALIDOMIDE,5-FU,SF295,DB00480,DB00544,-4.01,0
ABIRATERONE,HYDROXYUREA,SF295,DB05812,DB01005,-4,0
VISMODEGIB,BORTEZOMIB,SF295,DB08828,DB00188,-3.98,0
PAZOPANIB HYDROCHLORIDE,CYTARABINE HYDROCHLORIDE,SF295,DB06589,DB00987,-3.98,0
ABIRATERONE,DACARBAZINE,SF295,DB05812,DB00851,-3.98,0
METHOTREXATE,ARSENIC TRIOXIDE,SF295,DB00563,DB01169,-3.97,0
CRIZOTINIB,METHOXSALEN,SF295,DB08865,DB00553,-3.97,0
DACARBAZINE,TRETINOIN,SF295,DB00851,DB00755,-3.97,0
GEFITINIB,TRETINOIN,SF295,DB00317,DB00755,-3.95,0
HYDROXYUREA,BORTEZOMIB,SF295,DB01005,DB00188,-3.92,0
MITOXANTRONE,MERCAPTOPURINE,SF295,DB01204,DB01033,-3.9,0
GEFITINIB,DACARBAZINE,SF295,DB00317,DB00851,-3.9,0
PAZOPANIB HYDROCHLORIDE,LENALIDOMIDE,SF295,DB06589,DB00480,-3.88,0
LENALIDOMIDE,PRALATREXATE,SF295,DB00480,DB06813,-3.87,0
QUINACRINE HYDROCHLORIDE,THALIDOMIDE,SF295,DB01103,DB01041,-3.86,0
CRIZOTINIB,FLUDARABINE BASE,SF295,DB08865,DB01073,-3.85,0
MERCAPTOPURINE,TOPOTECAN HYDROCHLORIDE,SF295,DB01033,DB01030,-3.84,0
VISMODEGIB,CYTARABINE HYDROCHLORIDE,SF295,DB08828,DB00987,-3.84,0
CYTARABINE HYDROCHLORIDE,SUNITINIB,SF295,DB00987,DB01268,-3.82,0
NILOTINIB,TOPOTECAN HYDROCHLORIDE,SF295,DB04868,DB01030,-3.82,0
DEXRAZOXANE,CELECOXIB,SF295,DB00380,DB00482,-3.82,0
LENALIDOMIDE,LETROZOLE,SF295,DB00480,DB01006,-3.8,0
CRIZOTINIB,RALOXIFENE,SF295,DB08865,DB00481,-3.8,0
RUXOLITINIB,LENALIDOMIDE,SF295,DB08877,DB00480,-3.8,0
DASATINIB,TOPOTECAN HYDROCHLORIDE,SF295,DB01254,DB01030,-3.79,0
HYDROXYUREA,CARMUSTINE,SF295,DB01005,DB00262,-3.76,0
VISMODEGIB,TOPOTECAN HYDROCHLORIDE,SF295,DB08828,DB01030,-3.76,0
LETROZOLE,AZACYTIDINE,SF295,DB01006,DB00928,-3.75,0
DACARBAZINE,HYDROXYUREA,SF295,DB00851,DB01005,-3.75,0
LENALIDOMIDE,IXABEPILONE,SF295,DB00480,DB04845,-3.74,0
VISMODEGIB,LENALIDOMIDE,SF295,DB08828,DB00480,-3.74,0
AZACYTIDINE,ARSENIC TRIOXIDE,SF295,DB00928,DB01169,-3.72,0
CABAZITAXEL,DASATINIB,SF295,DB06772,DB01254,-3.72,0
IMATINIB,QUINACRINE HYDROCHLORIDE,SF295,DB00619,DB01103,-3.71,0
LETROZOLE,BLEOMYCIN,SF295,DB01006,DB00290,-3.69,0
LENALIDOMIDE,TAMOXIFEN CITRATE,SF295,DB00480,DB00675,-3.68,0
DAUNORUBICIN HYDROCHLORIDE,ALLOPURINOL,SF295,DB00694,DB00437,-3.67,0
THALIDOMIDE,IMIQUIMOD,SF295,DB01041,DB00724,-3.65,0
LENALIDOMIDE,ZOLEDRONIC ACID,SF295,DB00480,DB00399,-3.65,0
LENALIDOMIDE,HYDROXYUREA,SF295,DB00480,DB01005,-3.63,0
RALOXIFENE,CRIZOTINIB,SF295,DB00481,DB08865,-3.61,0
QUINACRINE HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,SF295,DB01103,DB01030,-3.61,0
CRIZOTINIB,SORAFENIB,SF295,DB08865,DB00398,-3.61,0
CYTARABINE HYDROCHLORIDE,HYDROXYUREA,SF295,DB00987,DB01005,-3.6,0
LENALIDOMIDE,CELECOXIB,SF295,DB00480,DB00482,-3.6,0
TAMOXIFEN CITRATE,AZACYTIDINE,SF295,DB00675,DB00928,-3.59,0
ALLOPURINOL,AMIFOSTINE,SF295,DB00437,DB01143,-3.57,0
VANDETANIB,BORTEZOMIB,SF295,DB05294,DB00188,-3.57,0
AZACYTIDINE,ERLOTINIB HYDROCHLORIDE,SF295,DB00928,DB00530,-3.55,0
PACLITAXEL,BLEOMYCIN,SF295,DB01229,DB00290,-3.53,0
ABIRATERONE,CARMUSTINE,SF295,DB05812,DB00262,-3.53,0
CRIZOTINIB,HYDROXYUREA,SF295,DB08865,DB01005,-3.52,0
ABIRATERONE,ZOLEDRONIC ACID,SF295,DB05812,DB00399,-3.51,0
DAUNORUBICIN HYDROCHLORIDE,DACARBAZINE,SF295,DB00694,DB00851,-3.5,0
ABIRATERONE,PAZOPANIB HYDROCHLORIDE,SF295,DB05812,DB06589,-3.5,0
VEMURAFENIB,QUINACRINE HYDROCHLORIDE,SF295,DB08881,DB01103,-3.49,0
ABIRATERONE,PRALATREXATE,SF295,DB05812,DB06813,-3.49,0
ABIRATERONE,ALLOPURINOL,SF295,DB05812,DB00437,-3.48,0
QUINACRINE HYDROCHLORIDE,IMIQUIMOD,SF295,DB01103,DB00724,-3.46,0
LAPATINIB,FULVESTRANT,SF295,DB01259,DB00947,-3.45,0
ABIRATERONE,ANASTROZOLE,SF295,DB05812,DB01217,-3.45,0
VEMURAFENIB,BORTEZOMIB,SF295,DB08881,DB00188,-3.44,0
ZOLEDRONIC ACID,TOPOTECAN HYDROCHLORIDE,SF295,DB00399,DB01030,-3.42,0
PAZOPANIB HYDROCHLORIDE,CRIZOTINIB,SF295,DB06589,DB08865,-3.42,0
ABIRATERONE,RUXOLITINIB,SF295,DB05812,DB08877,-3.42,0
ABIRATERONE,LETROZOLE,SF295,DB05812,DB01006,-3.42,0
RUXOLITINIB,ABIRATERONE,SF295,DB08877,DB05812,-3.42,0
ABIRATERONE,VEMURAFENIB,SF295,DB05812,DB08881,-3.41,0
MERCAPTOPURINE,AMIFOSTINE,SF295,DB01033,DB01143,-3.4,0
RUXOLITINIB,CRIZOTINIB,SF295,DB08877,DB08865,-3.36,0
FULVESTRANT,TOPOTECAN HYDROCHLORIDE,SF295,DB00947,DB01030,-3.34,0
MITOXANTRONE,TRETINOIN,SF295,DB01204,DB00755,-3.34,0
RUXOLITINIB,CYTARABINE HYDROCHLORIDE,SF295,DB08877,DB00987,-3.34,0
VANDETANIB,LENALIDOMIDE,SF295,DB05294,DB00480,-3.33,0
CRIZOTINIB,ABIRATERONE,SF295,DB08865,DB05812,-3.33,0
VANDETANIB,CYTARABINE HYDROCHLORIDE,SF295,DB05294,DB00987,-3.31,0
CRIZOTINIB,ARSENIC TRIOXIDE,SF295,DB08865,DB01169,-3.31,0
VEMURAFENIB,CYTARABINE HYDROCHLORIDE,SF295,DB08881,DB00987,-3.3,0
LENALIDOMIDE,CYTARABINE HYDROCHLORIDE,SF295,DB00480,DB00987,-3.3,0
LENALIDOMIDE,IMIQUIMOD,SF295,DB00480,DB00724,-3.3,0
PACLITAXEL,HYDROXYUREA,SF295,DB01229,DB01005,-3.27,0
PACLITAXEL,DOCETAXEL,SF295,DB01229,DB01248,-3.27,0
DACARBAZINE,NILOTINIB,SF295,DB00851,DB04868,-3.26,0
VISMODEGIB,LOMUSTINE,SF295,DB08828,DB01206,-3.25,0
DACARBAZINE,AZACYTIDINE,SF295,DB00851,DB00928,-3.25,0
TOPOTECAN HYDROCHLORIDE,CARMUSTINE,SF295,DB01030,DB00262,-3.23,0
GEFITINIB,NILOTINIB,SF295,DB00317,DB04868,-3.23,0
ANASTROZOLE,MERCAPTOPURINE,SF295,DB01217,DB01033,-3.22,0
DAUNORUBICIN HYDROCHLORIDE,FULVESTRANT,SF295,DB00694,DB00947,-3.22,0
ABIRATERONE,NILOTINIB,SF295,DB05812,DB04868,-3.22,0
TRETINOIN,IMIQUIMOD,SF295,DB00755,DB00724,-3.2,0
ABIRATERONE,TAMOXIFEN CITRATE,SF295,DB05812,DB00675,-3.2,0
CRIZOTINIB,IMATINIB,SF295,DB08865,DB00619,-3.2,0
LENALIDOMIDE,VEMURAFENIB,SF295,DB00480,DB08881,-3.2,0
DACARBAZINE,ANASTROZOLE,SF295,DB00851,DB01217,-3.2,0
PAZOPANIB HYDROCHLORIDE,TRETINOIN,SF295,DB06589,DB00755,-3.19,0
DACARBAZINE,IXABEPILONE,SF295,DB00851,DB04845,-3.19,0
TENIPOSIDE,METHOTREXATE,SF295,DB00444,DB00563,-3.18,0
DACARBAZINE,CARMUSTINE,SF295,DB00851,DB00262,-3.18,0
RALOXIFENE,ABIRATERONE,SF295,DB00481,DB05812,-3.17,0
TENIPOSIDE,DACARBAZINE,SF295,DB00444,DB00851,-3.17,0
PAZOPANIB HYDROCHLORIDE,HYDROXYUREA,SF295,DB06589,DB01005,-3.17,0
AZACYTIDINE,CARMUSTINE,SF295,DB00928,DB00262,-3.16,0
LENALIDOMIDE,METHOXSALEN,SF295,DB00480,DB00553,-3.16,0
DACARBAZINE,ZOLEDRONIC ACID,SF295,DB00851,DB00399,-3.16,0
GEFITINIB,CARMUSTINE,SF295,DB00317,DB00262,-3.16,0
PAZOPANIB HYDROCHLORIDE,DACARBAZINE,SF295,DB06589,DB00851,-3.15,0
CYTARABINE HYDROCHLORIDE,DOCETAXEL,SF295,DB00987,DB01248,-3.14,0
PEMETREXED,CRIZOTINIB,SF295,DB00642,DB08865,-3.14,0
GEFITINIB,ZOLEDRONIC ACID,SF295,DB00317,DB00399,-3.14,0
DACARBAZINE,ALLOPURINOL,SF295,DB00851,DB00437,-3.13,0
ABIRATERONE,VISMODEGIB,SF295,DB05812,DB08828,-3.12,0
GEFITINIB,PRALATREXATE,SF295,DB00317,DB06813,-3.12,0
RUXOLITINIB,TRETINOIN,SF295,DB08877,DB00755,-3.11,0
LENALIDOMIDE,TRETINOIN,SF295,DB00480,DB00755,-3.09,0
LENALIDOMIDE,ERLOTINIB HYDROCHLORIDE,SF295,DB00480,DB00530,-3.09,0
DACARBAZINE,LETROZOLE,SF295,DB00851,DB01006,-3.07,0
RUXOLITINIB,DACARBAZINE,SF295,DB08877,DB00851,-3.07,0
VISMODEGIB,TRETINOIN,SF295,DB08828,DB00755,-3.06,0
RUXOLITINIB,GEFITINIB,SF295,DB08877,DB00317,-3.05,0
ABIRATERONE,DASATINIB,SF295,DB05812,DB01254,-3.05,0
GEFITINIB,LETROZOLE,SF295,DB00317,DB01006,-3.05,0
5-FU,DASATINIB,SF295,DB00544,DB01254,-3.04,0
PEMETREXED,TENIPOSIDE,SF295,DB00642,DB00444,-3.04,0
LENALIDOMIDE,METHOTREXATE,SF295,DB00480,DB00563,-3.03,0
MEGESTROL ACETATE,PACLITAXEL,SF295,DB00351,DB01229,-3.03,0
MITOXANTRONE,CARMUSTINE,SF295,DB01204,DB00262,-3.03,0
LENALIDOMIDE,FULVESTRANT,SF295,DB00480,DB00947,-3.02,0
GEFITINIB,HYDROXYUREA,SF295,DB00317,DB01005,-3.02,0
DASATINIB,BLEOMYCIN,SF295,DB01254,DB00290,-3.01,0
VEMURAFENIB,LENALIDOMIDE,SF295,DB08881,DB00480,-3.01,0
VISMODEGIB,DACARBAZINE,SF295,DB08828,DB00851,-3.01,0
LETROZOLE,ALLOPURINOL,SF295,DB01006,DB00437,-2.99,0
VISMODEGIB,GEFITINIB,SF295,DB08828,DB00317,-2.99,0
CRIZOTINIB,DASATINIB,SF295,DB08865,DB01254,-2.98,0
RUXOLITINIB,HYDROXYUREA,SF295,DB08877,DB01005,-2.98,0
AZACYTIDINE,AMIFOSTINE,SF295,DB00928,DB01143,-2.96,0
METHOTREXATE,MERCAPTOPURINE,SF295,DB00563,DB01033,-2.96,0
HYDROXYUREA,PRALATREXATE,SF295,DB01005,DB06813,-2.95,0
CRIZOTINIB,PAZOPANIB HYDROCHLORIDE,SF295,DB08865,DB06589,-2.95,0
LOMUSTINE,TRETINOIN,SF295,DB01206,DB00755,-2.94,0
LENALIDOMIDE,SUNITINIB,SF295,DB00480,DB01268,-2.93,0
TAMOXIFEN CITRATE,QUINACRINE HYDROCHLORIDE,SF295,DB00675,DB01103,-2.92,0
CRIZOTINIB,TAMOXIFEN CITRATE,SF295,DB08865,DB00675,-2.92,0
LENALIDOMIDE,NILOTINIB,SF295,DB00480,DB04868,-2.92,0
ABIRATERONE,AZACYTIDINE,SF295,DB05812,DB00928,-2.92,0
VEMURAFENIB,HYDROXYUREA,SF295,DB08881,DB01005,-2.91,0
ABIRATERONE,IMIQUIMOD,SF295,DB05812,DB00724,-2.91,0
GEFITINIB,ANASTROZOLE,SF295,DB00317,DB01217,-2.9,0
SORAFENIB,TOPOTECAN HYDROCHLORIDE,SF295,DB00398,DB01030,-2.89,0
LENALIDOMIDE,CARMUSTINE,SF295,DB00480,DB00262,-2.89,0
PEMETREXED,DOCETAXEL,SF295,DB00642,DB01248,-2.87,0
NILOTINIB,QUINACRINE HYDROCHLORIDE,SF295,DB04868,DB01103,-2.86,0
DACARBAZINE,CELECOXIB,SF295,DB00851,DB00482,-2.86,0
RALOXIFENE,GEFITINIB,SF295,DB00481,DB00317,-2.84,0
GEFITINIB,CELECOXIB,SF295,DB00317,DB00482,-2.84,0
RUXOLITINIB,PEMETREXED,SF295,DB08877,DB00642,-2.84,0
GEFITINIB,IXABEPILONE,SF295,DB00317,DB04845,-2.83,0
THALIDOMIDE,ARSENIC TRIOXIDE,SF295,DB01041,DB01169,-2.81,0
LETROZOLE,HYDROXYUREA,SF295,DB01006,DB01005,-2.81,0
TRETINOIN,AZACYTIDINE,SF295,DB00755,DB00928,-2.8,0
TENIPOSIDE,PACLITAXEL,SF295,DB00444,DB01229,-2.8,0
5-FU,NILOTINIB,SF295,DB00544,DB04868,-2.79,0
PAZOPANIB HYDROCHLORIDE,VEMURAFENIB,SF295,DB06589,DB08881,-2.79,0
SUNITINIB,TOPOTECAN HYDROCHLORIDE,SF295,DB01268,DB01030,-2.78,0
VISMODEGIB,HYDROXYUREA,SF295,DB08828,DB01005,-2.78,0
DACARBAZINE,TAMOXIFEN CITRATE,SF295,DB00851,DB00675,-2.77,0
CYTARABINE HYDROCHLORIDE,ARSENIC TRIOXIDE,SF295,DB00987,DB01169,-2.75,0
SUNITINIB,SORAFENIB,SF295,DB01268,DB00398,-2.73,0
LENALIDOMIDE,THALIDOMIDE,SF295,DB00480,DB01041,-2.73,0
GEFITINIB,AZACYTIDINE,SF295,DB00317,DB00928,-2.72,0
PRALATREXATE,TOPOTECAN HYDROCHLORIDE,SF295,DB06813,DB01030,-2.7,0
LOMUSTINE,DASATINIB,SF295,DB01206,DB01254,-2.68,0
ABIRATERONE,AMIFOSTINE,SF295,DB05812,DB01143,-2.68,0
CRIZOTINIB,MEGESTROL ACETATE,SF295,DB08865,DB00351,-2.67,0
FULVESTRANT,SORAFENIB,SF295,DB00947,DB00398,-2.66,0
THALIDOMIDE,AMIFOSTINE,SF295,DB01041,DB01143,-2.66,0
CYTARABINE HYDROCHLORIDE,BLEOMYCIN,SF295,DB00987,DB00290,-2.65,0
VISMODEGIB,VEMURAFENIB,SF295,DB08828,DB08881,-2.65,0
NILOTINIB,FULVESTRANT,SF295,DB04868,DB00947,-2.64,0
CRIZOTINIB,VANDETANIB,SF295,DB08865,DB05294,-2.64,0
ABIRATERONE,LAPATINIB,SF295,DB05812,DB01259,-2.63,0
CRIZOTINIB,DOCETAXEL,SF295,DB08865,DB01248,-2.63,0
VANDETANIB,TRETINOIN,SF295,DB05294,DB00755,-2.63,0
LETROZOLE,DASATINIB,SF295,DB01006,DB01254,-2.61,0
METHOXSALEN,TOPOTECAN HYDROCHLORIDE,SF295,DB00553,DB01030,-2.6,0
ABIRATERONE,THALIDOMIDE,SF295,DB05812,DB01041,-2.59,0
LENALIDOMIDE,AZACYTIDINE,SF295,DB00480,DB00928,-2.59,0
VANDETANIB,DACARBAZINE,SF295,DB05294,DB00851,-2.59,0
AZACYTIDINE,BORTEZOMIB,SF295,DB00928,DB00188,-2.57,0
VANDETANIB,GEFITINIB,SF295,DB05294,DB00317,-2.56,0
DACARBAZINE,IMIQUIMOD,SF295,DB00851,DB00724,-2.55,0
PAZOPANIB HYDROCHLORIDE,ABIRATERONE,SF295,DB06589,DB05812,-2.55,0
DACARBAZINE,PRALATREXATE,SF295,DB00851,DB06813,-2.54,0
GEFITINIB,IMIQUIMOD,SF295,DB00317,DB00724,-2.53,0
MITOTANE,ERLOTINIB HYDROCHLORIDE,SF295,DB00648,DB00530,-2.49,0
VEMURAFENIB,TRETINOIN,SF295,DB08881,DB00755,-2.49,0
IMATINIB,TOPOTECAN HYDROCHLORIDE,SF295,DB00619,DB01030,-2.46,0
ABIRATERONE,QUINACRINE HYDROCHLORIDE,SF295,DB05812,DB01103,-2.46,0
PAZOPANIB HYDROCHLORIDE,NILOTINIB,SF295,DB06589,DB04868,-2.45,0
VANDETANIB,HYDROXYUREA,SF295,DB05294,DB01005,-2.45,0
VEMURAFENIB,DACARBAZINE,SF295,DB08881,DB00851,-2.45,0
GEFITINIB,AMIFOSTINE,SF295,DB00317,DB01143,-2.44,0
DAUNORUBICIN HYDROCHLORIDE,CRIZOTINIB,SF295,DB00694,DB08865,-2.44,0
PAZOPANIB HYDROCHLORIDE,ANASTROZOLE,SF295,DB06589,DB01217,-2.44,0
FLUDARABINE BASE,MERCAPTOPURINE,SF295,DB01073,DB01033,-2.43,0
VISMODEGIB,ANASTROZOLE,SF295,DB08828,DB01217,-2.43,0
SORAFENIB,CARMUSTINE,SF295,DB00398,DB00262,-2.42,0
ABIRATERONE,ERLOTINIB HYDROCHLORIDE,SF295,DB05812,DB00530,-2.42,0
GEFITINIB,VEMURAFENIB,SF295,DB00317,DB08881,-2.42,0
TAMOXIFEN CITRATE,DOCETAXEL,SF295,DB00675,DB01248,-2.41,0
RALOXIFENE,PRALATREXATE,SF295,DB00481,DB06813,-2.41,0
PACLITAXEL,METHOXSALEN,SF295,DB01229,DB00553,-2.41,0
DACARBAZINE,METHOXSALEN,SF295,DB00851,DB00553,-2.41,0
NILOTINIB,SORAFENIB,SF295,DB04868,DB00398,-2.39,0
ABIRATERONE,FLUDARABINE BASE,SF295,DB05812,DB01073,-2.39,0
SUNITINIB,BLEOMYCIN,SF295,DB01268,DB00290,-2.38,0
PEMETREXED,MITOXANTRONE,SF295,DB00642,DB01204,-2.38,0
GEFITINIB,METHOXSALEN,SF295,DB00317,DB00553,-2.38,0
5-FU,ZOLEDRONIC ACID,SF295,DB00544,DB00399,-2.38,0
ABIRATERONE,CRIZOTINIB,SF295,DB05812,DB08865,-2.37,0
RUXOLITINIB,NILOTINIB,SF295,DB08877,DB04868,-2.37,0
CRIZOTINIB,LETROZOLE,SF295,DB08865,DB01006,-2.36,0
RUXOLITINIB,AZACYTIDINE,SF295,DB08877,DB00928,-2.36,0
PAZOPANIB HYDROCHLORIDE,ZOLEDRONIC ACID,SF295,DB06589,DB00399,-2.36,0
LENALIDOMIDE,MITOTANE,SF295,DB00480,DB00648,-2.35,0
PEMETREXED,DACARBAZINE,SF295,DB00642,DB00851,-2.35,0
AZACYTIDINE,LAPATINIB,SF295,DB00928,DB01259,-2.34,0
DACARBAZINE,ERLOTINIB HYDROCHLORIDE,SF295,DB00851,DB00530,-2.34,0
ABIRATERONE,RALOXIFENE,SF295,DB05812,DB00481,-2.34,0
PAZOPANIB HYDROCHLORIDE,PRALATREXATE,SF295,DB06589,DB06813,-2.33,0
PACLITAXEL,CARMUSTINE,SF295,DB01229,DB00262,-2.32,0
PAZOPANIB HYDROCHLORIDE,ALLOPURINOL,SF295,DB06589,DB00437,-2.32,0
PAZOPANIB HYDROCHLORIDE,AZACYTIDINE,SF295,DB06589,DB00928,-2.32,0
CARMUSTINE,AMIFOSTINE,SF295,DB00262,DB01143,-2.31,0
FULVESTRANT,ALLOPURINOL,SF295,DB00947,DB00437,-2.31,0
AZACYTIDINE,ZOLEDRONIC ACID,SF295,DB00928,DB00399,-2.31,0
RALOXIFENE,HYDROXYUREA,SF295,DB00481,DB01005,-2.3,0
PAZOPANIB HYDROCHLORIDE,CARMUSTINE,SF295,DB06589,DB00262,-2.3,0
VISMODEGIB,AZACYTIDINE,SF295,DB08828,DB00928,-2.3,0
RALOXIFENE,DACARBAZINE,SF295,DB00481,DB00851,-2.29,0
FLUDARABINE BASE,NILOTINIB,SF295,DB01073,DB04868,-2.29,0
RALOXIFENE,ERLOTINIB HYDROCHLORIDE,SF295,DB00481,DB00530,-2.28,0
CRIZOTINIB,AZACYTIDINE,SF295,DB08865,DB00928,-2.28,0
RUXOLITINIB,ZOLEDRONIC ACID,SF295,DB08877,DB00399,-2.28,0
FLUDARABINE BASE,AMIFOSTINE,SF295,DB01073,DB01143,-2.27,0
LOMUSTINE,CYTARABINE HYDROCHLORIDE,SF295,DB01206,DB00987,-2.27,0
DACARBAZINE,LAPATINIB,SF295,DB00851,DB01259,-2.26,0
GEFITINIB,TAMOXIFEN CITRATE,SF295,DB00317,DB00675,-2.26,0
PAZOPANIB HYDROCHLORIDE,LETROZOLE,SF295,DB06589,DB01006,-2.26,0
RUXOLITINIB,PAZOPANIB HYDROCHLORIDE,SF295,DB08877,DB06589,-2.26,0
LETROZOLE,ZOLEDRONIC ACID,SF295,DB01006,DB00399,-2.25,0
RUXOLITINIB,PRALATREXATE,SF295,DB08877,DB06813,-2.25,0
VISMODEGIB,CARMUSTINE,SF295,DB08828,DB00262,-2.24,0
RUXOLITINIB,ALLOPURINOL,SF295,DB08877,DB00437,-2.24,0
RUXOLITINIB,ANASTROZOLE,SF295,DB08877,DB01217,-2.24,0
MITOXANTRONE,IXABEPILONE,SF295,DB01204,DB04845,-2.24,0
ANASTROZOLE,TOPOTECAN HYDROCHLORIDE,SF295,DB01217,DB01030,-2.23,0
LENALIDOMIDE,ARSENIC TRIOXIDE,SF295,DB00480,DB01169,-2.23,0
ANASTROZOLE,AZACYTIDINE,SF295,DB01217,DB00928,-2.22,0
VANDETANIB,VEMURAFENIB,SF295,DB05294,DB08881,-2.22,0
LENALIDOMIDE,SORAFENIB,SF295,DB00480,DB00398,-2.21,0
VISMODEGIB,ZOLEDRONIC ACID,SF295,DB08828,DB00399,-2.21,0
CYTARABINE HYDROCHLORIDE,LAPATINIB,SF295,DB00987,DB01259,-2.2,0
VANDETANIB,IXABEPILONE,SF295,DB05294,DB04845,-2.2,0
VANDETANIB,CRIZOTINIB,SF295,DB05294,DB08865,-2.2,0
GEFITINIB,THALIDOMIDE,SF295,DB00317,DB01041,-2.2,0
PAZOPANIB HYDROCHLORIDE,VISMODEGIB,SF295,DB06589,DB08828,-2.2,0
MEGESTROL ACETATE,QUINACRINE HYDROCHLORIDE,SF295,DB00351,DB01103,-2.19,0
VISMODEGIB,PRALATREXATE,SF295,DB08828,DB06813,-2.19,0
RUXOLITINIB,LETROZOLE,SF295,DB08877,DB01006,-2.18,0
RALOXIFENE,ZOLEDRONIC ACID,SF295,DB00481,DB00399,-2.17,0
ABIRATERONE,SORAFENIB,SF295,DB05812,DB00398,-2.17,0
ZOLEDRONIC ACID,QUINACRINE HYDROCHLORIDE,SF295,DB00399,DB01103,-2.16,0
5-FU,SORAFENIB,SF295,DB00544,DB00398,-2.15,0
PAZOPANIB HYDROCHLORIDE,TAMOXIFEN CITRATE,SF295,DB06589,DB00675,-2.13,0
5-FU,IXABEPILONE,SF295,DB00544,DB04845,-2.12,0
LENALIDOMIDE,IMATINIB,SF295,DB00480,DB00619,-2.11,0
TOPOTECAN HYDROCHLORIDE,BORTEZOMIB,SF295,DB01030,DB00188,-2.1,0
VANDETANIB,SORAFENIB,SF295,DB05294,DB00398,-2.1,0
CABAZITAXEL,PRALATREXATE,SF295,DB06772,DB06813,-2.1,0
FLUDARABINE BASE,IMIQUIMOD,SF295,DB01073,DB00724,-2.09,0
TRETINOIN,TOPOTECAN HYDROCHLORIDE,SF295,DB00755,DB01030,-2.09,0
DOCETAXEL,DASATINIB,SF295,DB01248,DB01254,-2.09,0
RALOXIFENE,IXABEPILONE,SF295,DB00481,DB04845,-2.07,0
TAMOXIFEN CITRATE,SUNITINIB,SF295,DB00675,DB01268,-2.06,0
VEMURAFENIB,IXABEPILONE,SF295,DB08881,DB04845,-2.06,0
MEGESTROL ACETATE,AMIFOSTINE,SF295,DB00351,DB01143,-2.05,0
LENALIDOMIDE,FLUDARABINE BASE,SF295,DB00480,DB01073,-2.05,0
PAZOPANIB HYDROCHLORIDE,SORAFENIB,SF295,DB06589,DB00398,-2.03,0
DACARBAZINE,FLUDARABINE BASE,SF295,DB00851,DB01073,-2.02,0
AZACYTIDINE,TOPOTECAN HYDROCHLORIDE,SF295,DB00928,DB01030,-2.01,0
LENALIDOMIDE,LAPATINIB,SF295,DB00480,DB01259,-2.01,0
ABIRATERONE,FULVESTRANT,SF295,DB05812,DB00947,-2.01,0
VANDETANIB,ANASTROZOLE,SF295,DB05294,DB01217,-2,0
NILOTINIB,SUNITINIB,SF295,DB04868,DB01268,-1.99,0
RALOXIFENE,5-FU,SF295,DB00481,DB00544,-1.99,0
BLEOMYCIN,ALLOPURINOL,SF295,DB00290,DB00437,-1.96,0
PAZOPANIB HYDROCHLORIDE,PEMETREXED,SF295,DB06589,DB00642,-1.96,0
ABIRATERONE,MITOTANE,SF295,DB05812,DB00648,-1.94,0
MITOXANTRONE,QUINACRINE HYDROCHLORIDE,SF295,DB01204,DB01103,-1.92,0
CABAZITAXEL,BLEOMYCIN,SF295,DB06772,DB00290,-1.91,0
VISMODEGIB,NILOTINIB,SF295,DB08828,DB04868,-1.91,0
VISMODEGIB,CELECOXIB,SF295,DB08828,DB00482,-1.9,0
CRIZOTINIB,SUNITINIB,SF295,DB08865,DB01268,-1.89,0
RUXOLITINIB,TAMOXIFEN CITRATE,SF295,DB08877,DB00675,-1.88,0
VANDETANIB,AZACYTIDINE,SF295,DB05294,DB00928,-1.87,0
IMATINIB,BORTEZOMIB,SF295,DB00619,DB00188,-1.85,0
VEMURAFENIB,ANASTROZOLE,SF295,DB08881,DB01217,-1.85,0
LAPATINIB,SORAFENIB,SF295,DB01259,DB00398,-1.84,0
PRALATREXATE,ARSENIC TRIOXIDE,SF295,DB06813,DB01169,-1.83,0
RALOXIFENE,ALLOPURINOL,SF295,DB00481,DB00437,-1.81,0
TENIPOSIDE,BORTEZOMIB,SF295,DB00444,DB00188,-1.79,0
GEFITINIB,FLUDARABINE BASE,SF295,DB00317,DB01073,-1.79,0
HYDROXYUREA,SORAFENIB,SF295,DB01005,DB00398,-1.78,0
VANDETANIB,ZOLEDRONIC ACID,SF295,DB05294,DB00399,-1.78,0
PAZOPANIB HYDROCHLORIDE,VANDETANIB,SF295,DB06589,DB05294,-1.76,0
VISMODEGIB,LETROZOLE,SF295,DB08828,DB01006,-1.76,0
VANDETANIB,PAZOPANIB HYDROCHLORIDE,SF295,DB05294,DB06589,-1.76,0
VANDETANIB,PRALATREXATE,SF295,DB05294,DB06813,-1.75,0
VANDETANIB,NILOTINIB,SF295,DB05294,DB04868,-1.75,0
GEFITINIB,LOMUSTINE,SF295,DB00317,DB01206,-1.74,0
VANDETANIB,ALLOPURINOL,SF295,DB05294,DB00437,-1.74,0
FLUDARABINE BASE,ARSENIC TRIOXIDE,SF295,DB01073,DB01169,-1.72,0
ABIRATERONE,TENIPOSIDE,SF295,DB05812,DB00444,-1.72,0
VEMURAFENIB,AZACYTIDINE,SF295,DB08881,DB00928,-1.72,0
